38,S. Hemis,Y,2019-05-05,April 2019,1718,Total,10.05,15.54,0.25,4.45,8.55,0.01,12.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,Afr. Fr. Zone,Y,2019-05-05,April 2019,1718,Total,1.53,5.42,0.00,0.14,4.99,0.00,1.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,Central Asia,Y,2019-05-05,April 2019,1718,Total,2.18,6.50,0.00,3.38,2.60,0.00,2.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,Major Exporters,Y,2019-05-05,April 2019,1718,Total,21.85,56.91,2.47,32.75,21.63,0.02,26.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,Total Foreign,Y,2019-05-05,April 2019,1718,Total,77.65,102.84,41.03,119.53,25.07,0.17,76.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,United States,Y,2019-05-05,April 2019,1718,Total,2.75,20.92,0.00,3.23,15.85,0.30,4.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,World,Y,2019-05-05,April 2019,1718,Total,80.40,123.76,41.04,122.76,40.92,0.47,81.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,Vietnam,Y,2019-05-05,April 2019,1819,Apr,1.19,0.00,7.30,7.20,0.00,0.00,1.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,Vietnam,Y,2019-05-05,April 2019,1819,Mar,1.19,0.00,7.40,7.30,0.00,0.00,1.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,Bangladesh,Y,2019-05-05,April 2019,1819,Apr,1.86,0.14,8.00,8.00,0.00,0.01,1.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,Bangladesh,Y,2019-05-05,April 2019,1819,Mar,1.86,0.14,8.00,8.00,0.00,0.01,1.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,Thailand,Y,2019-05-05,April 2019,1819,Apr,0.20,0.00,1.18,1.15,0.00,0.03,0.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,Thailand,Y,2019-05-05,April 2019,1819,Mar,0.18,0.00,1.18,1.15,0.00,0.03,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,Indonesia,Y,2019-05-05,April 2019,1819,Apr,0.62,0.00,3.50,3.50,0.01,0.00,0.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,Indonesia,Y,2019-05-05,April 2019,1819,Mar,0.62,0.00,3.55,3.55,0.01,0.00,0.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,Pakistan,Y,2019-05-05,April 2019,1819,Apr,2.83,7.70,3.00,10.60,0.13,0.03,2.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,Pakistan,Y,2019-05-05,April 2019,1819,Mar,2.83,7.70,3.00,10.60,0.13,0.03,2.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,Turkey,Y,2019-05-05,April 2019,1819,Apr,1.78,3.70,3.00,6.50,0.45,0.00,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,Turkey,Y,2019-05-05,April 2019,1819,Mar,1.88,3.70,3.20,6.80,0.35,0.00,1.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,European Union,Y,2019-05-05,April 2019,1819,Apr,0.25,1.72,0.69,0.74,1.58,0.05,0.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,European Union,Y,2019-05-05,April 2019,1819,Mar,0.27,1.69,0.70,0.74,1.55,0.05,0.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,China,Y,2019-05-05,April 2019,1819,Apr,38.02,27.75,8.00,40.50,0.15,0.00,33.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,China,Y,2019-05-05,April 2019,1819,Mar,38.02,27.50,7.50,40.50,0.15,0.00,32.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,Mexico,Y,2019-05-05,April 2019,1819,Apr,0.66,1.73,0.85,1.95,0.60,0.03,0.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,Mexico,Y,2019-05-05,April 2019,1819,Mar,0.66,1.73,0.85,1.95,0.60,0.03,0.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,Major Importers,Y,2019-05-05,April 2019,1819,Apr,47.81,42.74,37.40,82.05,2.91,0.14,42.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,Major Importers,Y,2019-05-05,April 2019,1819,Mar,47.90,42.45,37.26,82.50,2.79,0.14,42.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,India,Y,2019-05-05,April 2019,1819,Apr,9.23,27.00,1.40,24.80,4.20,0.00,8.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,India,Y,2019-05-05,April 2019,1819,Mar,9.23,27.00,1.60,24.80,4.50,0.00,8.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,Brazil,Y,2019-05-05,April 2019,1819,Apr,8.66,11.80,0.05,3.50,6.00,0.00,11.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,Brazil,Y,2019-05-05,April 2019,1819,Mar,8.66,11.75,0.10,3.50,6.00,0.00,11.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,Australia,Y,2019-05-05,April 2019,1819,Apr,3.04,2.50,0.00,0.04,3.80,0.00,1.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,Australia,Y,2019-05-05,April 2019,1819,Mar,3.04,2.50,0.00,0.04,3.60,0.00,1.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,S. Hemis,Y,2019-05-05,April 2019,1819,Apr,12.83,16.31,0.19,4.57,10.67,0.01,14.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,S. Hemis,Y,2019-05-05,April 2019,1819,Mar,12.83,16.26,0.24,4.57,10.42,0.01,14.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,Afr. Fr. Zone,Y,2019-05-05,April 2019,1819,Apr,1.83,5.38,0.00,0.14,5.32,0.00,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,Afr. Fr. Zone,Y,2019-05-05,April 2019,1819,Mar,1.83,5.58,0.00,0.14,5.47,0.00,1.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,Central Asia,Y,2019-05-05,April 2019,1819,Apr,2.71,5.48,0.00,3.66,2.26,0.00,2.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,Central Asia,Y,2019-05-05,April 2019,1819,Mar,2.71,5.55,0.00,3.61,2.26,0.00,2.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,Major Exporters,Y,2019-05-05,April 2019,1819,Apr,26.84,54.79,2.07,33.85,22.83,0.02,27.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,Major Exporters,Y,2019-05-05,April 2019,1819,Mar,26.84,55.01,2.32,33.80,23.03,0.02,27.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,Total Foreign,Y,2019-05-05,April 2019,1819,Apr,76.75,100.54,42.09,120.08,27.09,0.16,72.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
80,Total Foreign,Y,2019-05-05,April 2019,1819,Mar,76.84,100.50,42.17,120.39,27.18,0.16,71.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,United States,Y,2019-05-05,April 2019,1819,Apr,4.30,18.39,0.01,3.10,15.00,0.20,4.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
82,United States,Y,2019-05-05,April 2019,1819,Mar,4.30,18.39,0.01,3.20,15.00,0.20,4.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,World,Y,2019-05-05,April 2019,1819,Apr,81.05,118.93,42.09,123.18,42.09,0.36,76.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,World,Y,2019-05-05,April 2019,1819,Mar,81.14,118.89,42.18,123.59,42.18,0.36,76.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,Vietnam,Y,2019-05-05,March 2019,1617,Total,0.78,0.00,5.50,5.40,0.00,0.00,0.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,Bangladesh,Y,2019-05-05,March 2019,1617,Total,1.52,0.13,6.80,6.80,0.00,0.01,1.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,Thailand,Y,2019-05-05,March 2019,1617,Total,0.20,0.00,1.23,1.20,0.00,0.03,0.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,Indonesia,Y,2019-05-05,March 2019,1617,Total,0.53,0.01,3.39,3.30,0.01,0.00,0.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,Pakistan,Y,2019-05-05,March 2019,1617,Total,2.62,7.70,2.45,10.30,0.13,0.03,2.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,Turkey,Y,2019-05-05,March 2019,1617,Total,1.53,3.20,3.68,6.55,0.33,0.00,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,European Union,Y,2019-05-05,March 2019,1617,Total,0.27,1.31,0.69,0.72,1.33,0.05,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,China,Y,2019-05-05,March 2019,1617,Total,56.70,22.75,5.03,38.50,0.06,0.00,45.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,Mexico,Y,2019-05-05,March 2019,1617,Total,0.61,0.77,1.00,1.75,0.15,0.03,0.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
94,Major Importers,Y,2019-05-05,March 2019,1617,Total,65.27,35.86,31.92,76.72,2.03,0.14,54.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,India,Y,2019-05-05,March 2019,1617,Total,7.04,27.00,2.74,24.35,4.55,0.00,7.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,Brazil,Y,2019-05-05,March 2019,1617,Total,5.71,7.02,0.19,3.20,2.79,0.00,6.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97,Australia,Y,2019-05-05,March 2019,1617,Total,1.88,4.05,0.00,0.04,3.73,-0.03,2.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,S. Hemis,Y,2019-05-05,March 2019,1617,Total,8.76,12.25,0.37,4.29,7.05,-0.02,10.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,Afr. Fr. Zone,Y,2019-05-05,March 2019,1617,Total,1.16,5.12,0.00,0.14,4.60,0.01,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,Central Asia,Y,2019-05-05,March 2019,1617,Total,2.35,5.99,0.00,2.83,3.32,0.00,2.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101,Major Exporters,Y,2019-05-05,March 2019,1617,Total,19.55,50.72,3.63,32.27,19.78,0.01,21.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
102,Total Foreign,Y,2019-05-05,March 2019,1617,Total,86.54,89.49,37.69,112.93,22.99,0.15,77.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,United States,Y,2019-05-05,March 2019,1617,Total,3.80,17.17,0.01,3.25,14.92,0.06,2.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
104,World,Y,2019-05-05,March 2019,1617,Total,90.34,106.66,37.70,116.18,37.91,0.21,80.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,Vietnam,Y,2019-05-05,March 2019,1718,Total,0.88,0.00,6.90,6.60,0.00,0.00,1.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,Bangladesh,Y,2019-05-05,March 2019,1718,Total,1.63,0.14,7.60,7.50,0.00,0.01,1.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,Thailand,Y,2019-05-05,March 2019,1718,Total,0.20,0.00,1.15,1.15,0.00,0.03,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,Indonesia,Y,2019-05-05,March 2019,1718,Total,0.62,0.00,3.50,3.50,0.01,0.00,0.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
109,Pakistan,Y,2019-05-05,March 2019,1718,Total,2.32,8.20,3.30,10.80,0.16,0.03,2.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
110,Turkey,Y,2019-05-05,March 2019,1718,Total,1.53,4.00,4.02,7.35,0.33,0.00,1.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL
111,European Union,Y,2019-05-05,March 2019,1718,Total,0.18,1.54,0.72,0.75,1.37,0.06,0.27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
112,China,Y,2019-05-05,March 2019,1718,Total,45.92,27.50,5.73,41.00,0.13,0.00,38.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL
113,Mexico,Y,2019-05-05,March 2019,1718,Total,0.45,1.56,0.93,1.90,0.35,0.03,0.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,Major Importers,Y,2019-05-05,March 2019,1718,Total,54.17,42.95,35.85,82.58,2.34,0.15,47.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,India,Y,2019-05-05,March 2019,1718,Total,7.88,29.00,1.68,24.15,5.18,0.00,9.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
116,Brazil,Y,2019-05-05,March 2019,1718,Total,6.93,9.22,0.08,3.40,4.17,0.00,8.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
117,Australia,Y,2019-05-05,March 2019,1718,Total,2.19,4.80,0.00,0.04,3.92,0.00,3.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,S. Hemis,Y,2019-05-05,March 2019,1718,Total,10.05,15.54,0.25,4.45,8.55,0.01,12.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
119,Afr. Fr. Zone,Y,2019-05-05,March 2019,1718,Total,1.53,5.42,0.00,0.14,4.99,0.00,1.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
120,Central Asia,Y,2019-05-05,March 2019,1718,Total,2.18,6.50,0.00,3.38,2.60,0.00,2.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL
121,Major Exporters,Y,2019-05-05,March 2019,1718,Total,21.85,56.91,2.47,32.75,21.63,0.02,26.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL
122,Total Foreign,Y,2019-05-05,March 2019,1718,Total,77.65,102.86,40.93,119.35,25.07,0.17,76.84,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123,United States,Y,2019-05-05,March 2019,1718,Total,2.75,20.92,0.00,3.23,15.85,0.30,4.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
124,World,Y,2019-05-05,March 2019,1718,Total,80.40,123.78,40.93,122.58,40.92,0.47,81.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL
125,Vietnam,Y,2019-05-05,March 2019,1819,Mar,1.19,0.00,7.40,7.30,0.00,0.00,1.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
126,Vietnam,Y,2019-05-05,March 2019,1819,Feb,1.19,0.00,7.40,7.30,0.00,0.00,1.29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
127,Bangladesh,Y,2019-05-05,March 2019,1819,Mar,1.86,0.14,8.00,8.00,0.00,0.01,1.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,Bangladesh,Y,2019-05-05,March 2019,1819,Feb,1.86,0.14,8.00,8.00,0.00,0.01,1.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,Thailand,Y,2019-05-05,March 2019,1819,Mar,0.18,0.00,1.18,1.15,0.00,0.03,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
130,Thailand,Y,2019-05-05,March 2019,1819,Feb,0.18,0.00,1.18,1.15,0.00,0.03,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
131,Indonesia,Y,2019-05-05,March 2019,1819,Mar,0.62,0.00,3.55,3.55,0.01,0.00,0.61,NULL,NULL,NULL,NULL,NULL,NULL,NULL
132,Indonesia,Y,2019-05-05,March 2019,1819,Feb,0.62,0.00,3.65,3.60,0.01,0.00,0.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
133,Pakistan,Y,2019-05-05,March 2019,1819,Mar,2.83,7.70,3.00,10.60,0.13,0.03,2.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL
134,Pakistan,Y,2019-05-05,March 2019,1819,Feb,2.83,7.50,3.00,10.60,0.13,0.03,2.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL
135,Turkey,Y,2019-05-05,March 2019,1819,Mar,1.88,3.70,3.20,6.80,0.35,0.00,1.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,Turkey,Y,2019-05-05,March 2019,1819,Feb,1.88,3.70,3.20,6.80,0.30,0.00,1.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,European Union,Y,2019-05-05,March 2019,1819,Mar,0.27,1.69,0.70,0.74,1.55,0.05,0.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,European Union,Y,2019-05-05,March 2019,1819,Feb,0.27,1.69,0.70,0.74,1.55,0.05,0.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
139,China,Y,2019-05-05,March 2019,1819,Mar,38.02,27.50,7.50,40.50,0.15,0.00,32.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,China,Y,2019-05-05,March 2019,1819,Feb,38.02,27.50,7.50,40.50,0.15,0.00,32.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
141,Mexico,Y,2019-05-05,March 2019,1819,Mar,0.66,1.73,0.85,1.95,0.60,0.03,0.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,Mexico,Y,2019-05-05,March 2019,1819,Feb,0.66,1.73,0.85,1.95,0.60,0.03,0.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,Major Importers,Y,2019-05-05,March 2019,1819,Mar,47.90,42.45,37.26,82.50,2.79,0.14,42.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,Major Importers,Y,2019-05-05,March 2019,1819,Feb,47.90,42.25,37.36,82.55,2.74,0.14,42.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,India,Y,2019-05-05,March 2019,1819,Mar,9.23,27.00,1.60,24.80,4.50,0.00,8.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146,India,Y,2019-05-05,March 2019,1819,Feb,9.23,27.00,1.60,24.80,4.50,0.00,8.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,Brazil,Y,2019-05-05,March 2019,1819,Mar,8.66,11.75,0.10,3.50,6.00,0.00,11.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL
148,Brazil,Y,2019-05-05,March 2019,1819,Feb,8.66,11.40,0.13,3.50,6.20,0.00,10.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,Australia,Y,2019-05-05,March 2019,1819,Mar,3.04,2.50,0.00,0.04,3.60,0.00,1.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL
150,Australia,Y,2019-05-05,March 2019,1819,Feb,2.94,2.60,0.00,0.04,3.60,0.00,1.90,NULL,NULL,NULL,NULL,NULL,NULL,NULL
151,S. Hemis,Y,2019-05-05,March 2019,1819,Mar,12.83,16.26,0.24,4.57,10.42,0.01,14.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
152,S. Hemis,Y,2019-05-05,March 2019,1819,Feb,12.73,15.98,0.27,4.57,10.61,0.01,13.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,Afr. Fr. Zone,Y,2019-05-05,March 2019,1819,Mar,1.83,5.58,0.00,0.14,5.47,0.00,1.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,Afr. Fr. Zone,Y,2019-05-05,March 2019,1819,Feb,1.83,5.58,0.00,0.14,5.47,0.00,1.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
155,Central Asia,Y,2019-05-05,March 2019,1819,Mar,2.71,5.55,0.00,3.61,2.26,0.00,2.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
156,Central Asia,Y,2019-05-05,March 2019,1819,Feb,2.72,5.59,0.00,3.61,2.26,0.00,2.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL
157,Major Exporters,Y,2019-05-05,March 2019,1819,Mar,26.84,55.01,2.32,33.80,23.03,0.02,27.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,Major Exporters,Y,2019-05-05,March 2019,1819,Feb,26.75,54.77,2.35,33.80,23.22,0.02,26.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,Total Foreign,Y,2019-05-05,March 2019,1819,Mar,76.84,100.50,42.17,120.39,27.18,0.16,71.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,Total Foreign,Y,2019-05-05,March 2019,1819,Feb,76.75,100.06,42.30,120.44,27.32,0.16,71.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,United States,Y,2019-05-05,March 2019,1819,Mar,4.30,18.39,0.01,3.20,15.00,0.20,4.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,United States,Y,2019-05-05,March 2019,1819,Feb,4.30,18.39,0.01,3.20,15.00,0.20,4.30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,World,Y,2019-05-05,March 2019,1819,Mar,81.14,118.89,42.18,123.59,42.18,0.36,76.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,World,Y,2019-05-05,March 2019,1819,Feb,81.05,118.45,42.31,123.64,42.32,0.36,75.50,NULL,NULL,NULL,NULL,NULL,NULL,NULL
