date,open,close,high,low,volume
2004-06-01,15400.0,15400.0,15400.0,15400.0,0
2004-06-02,15400.0,15400.0,15400.0,15400.0,0
2004-06-03,14380.0,14380.0,14380.0,14380.0,0
2004-06-04,14950.0,13845.0,14950.0,13845.0,0
2004-06-07,13900.0,13900.0,13900.0,13900.0,0
2004-06-08,14460.0,13360.0,14460.0,13360.0,0
2004-06-09,13910.0,13910.0,13910.0,13910.0,0
2004-06-10,13910.0,13910.0,13910.0,13910.0,0
2004-06-11,13910.0,13910.0,13910.0,13910.0,0
2004-06-14,14200.0,14200.0,14200.0,14200.0,0
2004-06-15,14200.0,14200.0,14200.0,14200.0,0
2004-06-16,14200.0,14200.0,14200.0,14200.0,0
2004-06-17,14200.0,14200.0,14200.0,14200.0,0
2004-06-18,14200.0,14200.0,14200.0,14200.0,0
2004-06-21,14200.0,14200.0,14200.0,14200.0,0
2004-06-22,14200.0,14200.0,14200.0,14200.0,0
2004-06-23,14200.0,14200.0,14200.0,14200.0,0
2004-06-24,14200.0,14200.0,14200.0,14200.0,0
2004-06-25,14200.0,14200.0,14200.0,14200.0,0
2004-06-28,13630.0,13630.0,13630.0,13630.0,0
2004-06-29,13150.0,14160.0,14160.0,13150.0,0
2004-06-30,13655.0,13655.0,13655.0,13655.0,0
2004-07-01,13300.0,13280.0,13300.0,13280.0,0
2004-07-02,13100.0,13500.0,13500.0,13100.0,0
2004-07-05,13300.0,13300.0,13300.0,13300.0,0
2004-07-06,13750.0,12780.0,13750.0,12780.0,0
2004-07-07,13270.0,13270.0,13270.0,13270.0,0
2004-07-08,12750.0,13000.0,13760.0,12750.0,0
2004-07-09,13720.0,13630.0,13720.0,13630.0,0
2004-07-12,12930.0,12930.0,12930.0,12930.0,0
2004-07-13,13295.0,12955.0,13295.0,12955.0,0
2004-07-14,13070.0,13070.0,13070.0,13070.0,0
2004-07-15,13200.0,13200.0,13200.0,13200.0,0
2004-07-16,13100.0,13100.0,13100.0,13100.0,0
2004-07-19,12580.0,13200.0,13200.0,12580.0,0
2004-07-20,12890.0,12890.0,12890.0,12890.0,0
2004-07-21,12890.0,12890.0,12890.0,12890.0,0
2004-07-22,12505.0,12505.0,12505.0,12505.0,0
2004-07-23,12505.0,12505.0,12505.0,12505.0,0
2004-07-26,13010.0,12910.0,13010.0,12910.0,0
2004-07-27,12850.0,13300.0,13460.0,12850.0,0
2004-07-28,13000.0,12825.0,13410.0,12825.0,0
2004-07-29,12855.0,12855.0,12855.0,12855.0,0
2004-07-30,12660.0,13160.0,13160.0,12660.0,0
2004-08-02,12920.0,12920.0,12920.0,12920.0,0
2004-08-03,12920.0,12920.0,12920.0,12920.0,0
2004-08-04,12920.0,12920.0,12920.0,12920.0,0
2004-08-05,13100.0,13100.0,13100.0,13100.0,0
2004-08-06,12600.0,12600.0,12600.0,12600.0,0
2004-08-09,12600.0,12600.0,12600.0,12600.0,0
2004-08-10,12600.0,12600.0,12600.0,12600.0,0
2004-08-11,12780.0,12780.0,12780.0,12780.0,0
2004-08-12,12600.0,13000.0,13000.0,12600.0,0
2004-08-13,13210.0,12550.0,13210.0,12550.0,0
2004-08-16,12650.0,12650.0,12650.0,12650.0,0
2004-08-17,12550.0,12620.0,12800.0,12550.0,0
2004-08-18,13000.0,13000.0,13000.0,13000.0,0
2004-08-19,13000.0,13000.0,13000.0,13000.0,0
2004-08-20,12800.0,12800.0,12800.0,12800.0,0
2004-08-23,13180.0,12900.0,13180.0,12900.0,0
2004-08-24,12815.0,12815.0,12815.0,12815.0,0
2004-08-25,12815.0,12815.0,12815.0,12815.0,0
2004-08-26,12815.0,12815.0,12815.0,12815.0,0
2004-08-27,12800.0,12790.0,12800.0,12790.0,0
2004-08-30,12610.0,12750.0,12800.0,12610.0,0
2004-08-31,12650.0,12650.0,12650.0,12650.0,0
2004-09-01,12650.0,12650.0,12650.0,12650.0,0
2004-09-02,12650.0,12650.0,12650.0,12650.0,0
2004-09-03,12650.0,12650.0,12650.0,12650.0,0
2004-09-06,12650.0,12650.0,12650.0,12650.0,0
2004-09-07,12650.0,12650.0,12650.0,12650.0,0
2004-09-08,12650.0,12650.0,12650.0,12650.0,0
2004-09-09,12650.0,12650.0,12650.0,12650.0,0
2004-09-10,12650.0,12650.0,12650.0,12650.0,0
2004-09-13,12650.0,12650.0,12650.0,12650.0,0
2004-09-14,13100.0,13130.0,13140.0,13100.0,0
2004-09-15,13060.0,13060.0,13060.0,13060.0,0
2004-09-16,13060.0,13060.0,13060.0,13060.0,0
2004-09-17,13000.0,13005.0,13005.0,13000.0,0
2004-09-20,13000.0,13000.0,13000.0,13000.0,0
2004-09-21,13000.0,13000.0,13000.0,13000.0,0
2004-09-22,13000.0,13000.0,13000.0,13000.0,0
2004-09-23,13000.0,13000.0,13000.0,13000.0,0
2004-09-24,13450.0,13400.0,13450.0,13400.0,0
2004-09-27,13405.0,13405.0,13405.0,13405.0,0
2004-09-28,13260.0,13340.0,13555.0,13260.0,0
2004-09-29,13380.0,13380.0,13380.0,13380.0,0
2004-09-30,13380.0,13380.0,13380.0,13380.0,0
2004-10-08,13010.0,13140.0,13330.0,13010.0,0
2004-10-11,12940.0,13040.0,13080.0,12940.0,0
2004-10-12,12880.0,12905.0,13060.0,12880.0,0
2004-10-13,12860.0,12950.0,13000.0,12860.0,0
2004-10-14,13080.0,13020.0,13080.0,13020.0,0
2004-10-15,12850.0,12890.0,12900.0,12850.0,0
2004-10-18,12800.0,12595.0,12800.0,12595.0,0
2004-10-19,12410.0,12535.0,12675.0,12410.0,0
2004-10-20,12670.0,12655.0,12670.0,12655.0,0
2004-10-21,12705.0,12500.0,12710.0,12500.0,0
2004-10-22,12690.0,12345.0,12690.0,12345.0,0
2004-10-25,12165.0,12340.0,12340.0,12165.0,0
2004-10-26,12365.0,12395.0,12540.0,12365.0,0
2004-10-27,12380.0,12590.0,12590.0,12380.0,0
2004-10-28,12510.0,12605.0,12770.0,12510.0,0
2004-10-29,12530.0,12615.0,12615.0,12530.0,0
2004-11-01,12560.0,12635.0,12690.0,12560.0,0
2004-11-02,12695.0,12530.0,12695.0,12530.0,0
2004-11-03,12505.0,12600.0,12600.0,12505.0,0
2004-11-04,12600.0,12630.0,12670.0,12600.0,0
2004-11-05,12550.0,12590.0,12590.0,12550.0,0
2004-11-08,12715.0,12690.0,12720.0,12690.0,0
2004-11-09,12750.0,12620.0,12755.0,12620.0,0
2004-11-10,12600.0,12530.0,12670.0,12530.0,0
2004-11-11,12550.0,12500.0,12570.0,12500.0,0
2004-11-12,12370.0,12485.0,12545.0,12370.0,0
2004-11-15,12500.0,12580.0,12580.0,12500.0,0
2004-11-16,12540.0,12485.0,12575.0,12485.0,0
2004-11-17,12540.0,12560.0,12565.0,12540.0,0
2004-11-18,12500.0,12550.0,12620.0,12500.0,0
2004-11-19,12640.0,12580.0,12640.0,12580.0,0
2004-11-22,12620.0,12520.0,12620.0,12520.0,0
2004-11-23,12450.0,12520.0,12565.0,12450.0,0
2004-11-24,12480.0,12540.0,12540.0,12480.0,0
2004-11-25,12480.0,12545.0,12570.0,12480.0,0
2004-11-26,12540.0,12560.0,12610.0,12540.0,0
2004-11-29,12570.0,12500.0,12570.0,12500.0,0
2004-11-30,12500.0,12520.0,12555.0,12500.0,0
2004-12-01,12540.0,12545.0,12590.0,12540.0,0
2004-12-02,12485.0,12495.0,12540.0,12485.0,0
2004-12-03,12450.0,12500.0,12500.0,12450.0,0
2004-12-06,12460.0,12405.0,12460.0,12405.0,0
2004-12-07,12385.0,12415.0,12455.0,12385.0,0
2004-12-08,12405.0,12415.0,12435.0,12405.0,0
2004-12-09,12385.0,12360.0,12385.0,12360.0,0
2004-12-10,12365.0,12365.0,12415.0,12365.0,0
2004-12-13,12325.0,12345.0,12380.0,12325.0,0
2004-12-14,12380.0,12415.0,12430.0,12380.0,0
2004-12-15,12360.0,12390.0,12400.0,12360.0,0
2004-12-16,12380.0,12470.0,12550.0,12380.0,0
2004-12-17,12480.0,12455.0,12485.0,12455.0,0
2004-12-20,12500.0,12455.0,12500.0,12455.0,0
2004-12-21,12440.0,12450.0,12470.0,12440.0,0
2004-12-22,12425.0,12435.0,12465.0,12425.0,0
2004-12-23,12400.0,12430.0,12520.0,12400.0,0
2004-12-24,12450.0,12445.0,12455.0,12445.0,0
2004-12-27,12455.0,12495.0,12500.0,12455.0,0
2004-12-28,12510.0,12500.0,12520.0,12500.0,0
2004-12-29,12550.0,12595.0,12600.0,12550.0,0
2004-12-30,12575.0,12570.0,12605.0,12570.0,0
2004-12-31,12605.0,12650.0,12650.0,12605.0,0
2005-01-04,12585.0,12530.0,12625.0,12530.0,0
2005-01-05,12545.0,12600.0,12615.0,12545.0,0
2005-01-06,12675.0,12815.0,12840.0,12675.0,0
2005-01-07,12815.0,12790.0,12830.0,12790.0,0
2005-01-10,12880.0,12790.0,12940.0,12790.0,0
2005-01-11,12830.0,12775.0,12950.0,12775.0,0
2005-01-12,12700.0,12810.0,12815.0,12700.0,0
2005-01-13,12805.0,12890.0,12910.0,12805.0,0
2005-01-14,12860.0,12890.0,12930.0,12860.0,0
2005-01-17,12840.0,12870.0,12895.0,12840.0,0
2005-01-18,12850.0,12905.0,12920.0,12850.0,0
2005-01-19,12920.0,12975.0,12990.0,12920.0,0
2005-01-20,13075.0,13055.0,13090.0,13055.0,0
2005-01-21,13015.0,13030.0,13040.0,13015.0,0
2005-01-24,12965.0,13120.0,13145.0,12965.0,0
2005-01-25,13080.0,13190.0,13210.0,13080.0,0
2005-01-26,13205.0,13165.0,13230.0,13165.0,0
2005-01-27,13150.0,13175.0,13215.0,13150.0,0
2005-01-28,12930.0,12990.0,13090.0,12930.0,0
2005-01-31,12965.0,13085.0,13095.0,12965.0,0
2005-02-01,13100.0,13180.0,13185.0,13100.0,0
2005-02-02,13180.0,13145.0,13210.0,13145.0,0
2005-02-03,13165.0,13200.0,13215.0,13165.0,0
2005-02-04,13140.0,13220.0,13225.0,13140.0,0
2005-02-16,13395.0,13410.0,13445.0,13395.0,0
2005-02-17,13395.0,13440.0,13465.0,13395.0,0
2005-02-18,13425.0,13510.0,13540.0,13425.0,0
2005-02-21,13555.0,13405.0,13575.0,13400.0,0
2005-02-22,13405.0,13550.0,13565.0,13405.0,0
