===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MA_1_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,MACD_Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown,Bolling_2_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
20,,7,2020-09-09 00:00:00,12910.0,12920.0,12215.0,12430.0,600269.0,,MA_1_0,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,MACD_Strategy,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,Bolling_2_0,6,737676.0,Broker,6,150000.0,150000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
21,,7,2020-09-09 00:00:00,12910.0,12920.0,12215.0,12430.0,600269.0,,MA_1_0,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,MACD_Strategy,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,Bolling_2_0,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
22,,8,2020-09-10 00:00:00,12495.0,12660.0,12470.0,12580.0,254968.0,,MA_1_0,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,MACD_Strategy,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0,Bolling_2_0,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
23,,8,2020-09-10 00:00:00,12495.0,12660.0,12470.0,12580.0,254968.0,,MA_1_0,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,MACD_Strategy,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,Bolling_2_0,7,737677.0,Broker,7,150000.0,150000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
24,,8,2020-09-10 00:00:00,12495.0,12660.0,12470.0,12580.0,254968.0,,MA_1_0,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,MACD_Strategy,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,Bolling_2_0,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
25,,9,2020-09-11 00:00:00,12590.0,12630.0,12540.0,12590.0,162522.0,,MA_1_0,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,MACD_Strategy,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0,Bolling_2_0,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
26,,9,2020-09-11 00:00:00,12590.0,12630.0,12540.0,12590.0,162522.0,,MA_1_0,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,MACD_Strategy,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,Bolling_2_0,8,737678.0,Broker,8,150000.0,150000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
27,,9,2020-09-11 00:00:00,12590.0,12630.0,12540.0,12590.0,162522.0,,MA_1_0,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,MACD_Strategy,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,Bolling_2_0,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
28,,10,2020-09-14 00:00:00,12580.0,12650.0,12555.0,12630.0,150434.0,,MA_1_0,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,MACD_Strategy,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0,Bolling_2_0,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
29,,10,2020-09-14 00:00:00,12580.0,12650.0,12555.0,12630.0,150434.0,,MA_1_0,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,MACD_Strategy,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,Bolling_2_0,9,737679.0,Broker,9,150000.0,150000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
30,,10,2020-09-14 00:00:00,12580.0,12650.0,12555.0,12630.0,150434.0,,MA_1_0,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,MACD_Strategy,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,Bolling_2_0,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
31,,11,2020-09-15 00:00:00,12675.0,12845.0,12655.0,12800.0,267122.0,,MA_1_0,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,MACD_Strategy,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0,Bolling_2_0,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
32,,11,2020-09-15 00:00:00,12675.0,12845.0,12655.0,12800.0,267122.0,,MA_1_0,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,MACD_Strategy,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,Bolling_2_0,10,737682.0,Broker,10,150000.0,150000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
33,,11,2020-09-15 00:00:00,12675.0,12845.0,12655.0,12800.0,267122.0,,MA_1_0,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,MACD_Strategy,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,Bolling_2_0,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
34,,12,2020-09-16 00:00:00,12785.0,12815.0,12720.0,12775.0,149305.0,,MA_1_0,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,MACD_Strategy,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0,Bolling_2_0,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
35,,12,2020-09-16 00:00:00,12785.0,12815.0,12720.0,12775.0,149305.0,,MA_1_0,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,MACD_Strategy,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,Bolling_2_0,11,737683.0,Broker,11,150000.0,150000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,,DrawDown,11,0.0,0.0
36,,12,2020-09-16 00:00:00,12785.0,12815.0,12720.0,12775.0,149305.0,,MA_1_0,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,MACD_Strategy,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,Bolling_2_0,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
37,,13,2020-09-17 00:00:00,12775.0,12840.0,12740.0,12780.0,170008.0,,MA_1_0,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,MACD_Strategy,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0,Bolling_2_0,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
38,,13,2020-09-17 00:00:00,12775.0,12840.0,12740.0,12780.0,170008.0,,MA_1_0,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,MACD_Strategy,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,Bolling_2_0,12,737684.0,Broker,12,150000.0,150000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,,DrawDown,12,0.0,0.0
39,,13,2020-09-17 00:00:00,12775.0,12840.0,12740.0,12780.0,170008.0,,MA_1_0,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,MACD_Strategy,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,Bolling_2_0,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
40,,14,2020-09-18 00:00:00,12785.0,12825.0,12685.0,12815.0,196347.0,,MA_1_0,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,MACD_Strategy,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0,Bolling_2_0,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
41,,14,2020-09-18 00:00:00,12785.0,12825.0,12685.0,12815.0,196347.0,,MA_1_0,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,MACD_Strategy,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,Bolling_2_0,13,737685.0,Broker,13,150000.0,150000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,,DrawDown,13,0.0,0.0
42,,14,2020-09-18 00:00:00,12785.0,12825.0,12685.0,12815.0,196347.0,,MA_1_0,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,MACD_Strategy,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,Bolling_2_0,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
43,,15,2020-09-21 00:00:00,12795.0,12940.0,12770.0,12940.0,275733.0,,MA_1_0,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,MACD_Strategy,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0,Bolling_2_0,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
44,,15,2020-09-21 00:00:00,12795.0,12940.0,12770.0,12940.0,275733.0,,MA_1_0,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,MACD_Strategy,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,Bolling_2_0,14,737686.0,Broker,14,150000.0,150000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,,DrawDown,14,0.0,0.0
45,,15,2020-09-21 00:00:00,12795.0,12940.0,12770.0,12940.0,275733.0,,MA_1_0,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,MACD_Strategy,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,Bolling_2_0,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
46,,16,2020-09-22 00:00:00,12900.0,13005.0,12730.0,12960.0,338908.0,,MA_1_0,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,MACD_Strategy,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0,Bolling_2_0,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
47,,16,2020-09-22 00:00:00,12900.0,13005.0,12730.0,12960.0,338908.0,,MA_1_0,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,MACD_Strategy,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,Bolling_2_0,15,737689.0,Broker,15,150000.0,150000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,,DrawDown,15,0.0,0.0
48,,16,2020-09-22 00:00:00,12900.0,13005.0,12730.0,12960.0,338908.0,,MA_1_0,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,MACD_Strategy,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,Bolling_2_0,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
49,,17,2020-09-23 00:00:00,12945.0,12995.0,12710.0,12820.0,280226.0,,MA_1_0,17,737691.0,Broker,17,150000.0,150000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0,MACD_Strategy,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0,Bolling_2_0,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
50,,17,2020-09-23 00:00:00,12945.0,12995.0,12710.0,12820.0,280226.0,,MA_1_0,17,737691.0,Broker,17,150000.0,150000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0,MACD_Strategy,17,737691.0,Broker,17,150000.0,150000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,,DrawDown,17,0.0,0.0,Bolling_2_0,16,737690.0,Broker,16,150000.0,150000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,,DrawDown,16,0.0,0.0
